Gene,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47,cell_48,cell_49,cell_50,cell_51,cell_52,cell_53,cell_54,cell_55,cell_56,cell_57,cell_58,cell_59,cell_60,cell_61,cell_62,cell_63,cell_64,cell_65,cell_66,cell_67,cell_68,cell_69,cell_70,cell_71,cell_72,cell_73,cell_74,cell_75,cell_76,cell_77,cell_78,cell_79,cell_80,cell_81,cell_82,cell_83,cell_84,cell_85,cell_86,cell_87,cell_88,cell_89,cell_90,cell_91,cell_92,cell_93,cell_94,cell_95,cell_96
MRPL17,22,23,3,6,4,10,17,4,11,19,12,26,5,7,9,14,4,16,14,10,3,7,10,12,6,14,21,10,2,9,3,12,2,1,9,12,2,9,8,4,18,19,20,5,3,21,6,12,21,5,5,15,9,9,8,16,12,11,9,17,21,6,7,24,2,15,4,6,4,5,10,22,7,6,2,5,13,21,8,1,16,15,16,30,12,14,5,9,5,3,8,2,16,7,23,6
PIF1,10,10,7,9,8,21,22,2,3,14,2,30,3,2,9,20,6,23,16,9,7,6,11,21,7,8,16,16,7,12,3,10,8,1,7,15,5,10,24,3,23,16,10,10,3,19,7,17,15,8,0,8,6,26,2,12,16,21,19,9,13,3,4,21,5,18,4,7,4,6,21,12,6,5,4,2,14,22,14,9,9,12,12,12,15,17,3,8,5,5,7,3,14,5,10,6
SESN2,21,11,7,3,10,19,12,5,9,17,6,12,5,7,7,10,3,10,9,19,9,2,21,15,2,24,23,12,3,15,0,21,8,13,5,18,5,6,21,3,10,14,16,3,5,14,5,9,12,12,2,14,6,30,4,21,12,22,16,26,14,8,6,13,5,23,9,6,3,3,16,15,1,1,4,16,20,10,8,9,12,17,10,16,8,22,8,2,3,3,2,5,16,8,9,2
SLC25A33,19,21,7,4,6,14,15,1,2,22,4,16,5,7,1,16,3,9,12,16,9,4,22,12,2,21,10,21,5,18,10,16,7,4,6,23,13,3,13,4,11,16,12,8,3,17,7,26,17,7,3,8,6,12,7,15,10,10,14,30,20,7,3,14,10,10,3,6,3,4,23,8,4,9,1,0,10,21,24,3,15,9,21,12,14,12,6,4,2,6,5,4,9,1,19,6
MGME1,17,10,5,7,4,22,14,12,3,15,7,10,1,6,7,21,4,16,18,16,5,6,21,9,2,14,19,12,0,10,10,10,4,5,2,11,7,4,20,4,22,12,15,6,4,12,4,12,26,6,5,21,0,12,5,17,16,19,9,16,16,5,4,10,3,21,6,7,7,5,9,8,0,2,5,13,12,14,13,2,23,30,23,21,24,8,3,6,4,1,2,6,15,6,14,3
FLCN,12,19,6,2,5,15,24,5,4,14,2,16,3,0,4,12,2,16,10,12,2,6,14,30,6,10,14,9,8,21,6,19,2,3,6,22,7,1,16,5,21,18,17,2,8,8,5,12,12,9,4,14,6,21,8,26,10,17,15,10,21,5,4,12,4,10,4,2,3,8,16,21,6,3,3,6,15,22,20,8,11,16,9,23,13,8,9,2,2,6,6,3,23,6,9,1
PRIMPOL,15,14,4,4,8,8,21,5,3,8,7,23,4,6,2,17,4,9,11,15,4,12,17,12,5,16,16,26,7,22,3,16,5,1,4,10,5,7,12,6,19,23,9,2,5,14,10,10,16,2,6,20,6,16,7,30,9,22,18,21,15,2,8,21,5,21,5,4,3,3,14,13,1,5,6,6,12,12,10,1,21,12,19,10,14,24,5,4,9,5,6,4,10,2,12,3
STOX1,8,17,4,4,8,14,13,5,5,24,7,10,4,6,1,9,6,12,21,18,1,1,22,16,4,12,9,30,3,10,6,14,2,7,5,21,3,2,21,3,14,10,26,7,3,8,5,21,12,5,7,10,7,23,9,12,19,12,23,16,12,8,10,15,3,19,3,6,7,2,16,14,4,1,5,6,17,15,16,7,22,10,16,9,20,21,7,1,2,9,5,2,11,8,15,3
ABAT,10,10,6,9,1,10,10,3,4,10,6,10,6,7,10,10,7,10,10,7,6,8,10,10,5,10,10,10,10,10,5,10,3,9,10,7,6,5,10,10,10,10,7,2,7,10,10,10,5,5,10,4,8,10,10,2,10,10,10,10,5,6,10,4,10,3,3,2,4,10,10,1,5,7,8,5,9,10,10,10,10,10,8,10,10,5,10,10,4,6,10,5,5,10,8,1
ACR,14,14,8,5,10,14,14,3,7,14,2,14,2,7,14,14,6,14,14,7,2,6,14,14,2,14,14,14,14,14,7,14,4,3,14,3,6,4,14,14,14,14,6,2,5,14,14,14,3,8,14,4,6,14,14,3,14,14,14,14,7,4,14,7,14,4,6,7,11,14,14,5,7,5,3,2,5,14,14,14,14,14,7,14,14,5,14,14,4,5,14,8,5,14,2,5
ACOX1,18,18,7,3,7,18,18,5,3,18,7,18,1,4,18,18,4,18,18,3,5,3,18,18,5,18,18,18,18,18,4,18,7,8,18,3,4,6,18,18,18,18,8,10,5,18,18,18,1,3,18,4,5,18,18,4,18,18,18,18,5,5,18,7,18,8,4,3,3,18,18,5,2,7,7,3,7,18,18,18,18,18,5,18,18,8,18,18,5,4,18,5,8,18,2,7
ACVR1,20,20,2,3,5,20,20,5,7,20,6,20,3,2,20,20,3,20,20,5,9,8,20,20,5,20,20,20,20,20,5,20,8,3,20,9,7,11,20,20,20,20,2,5,2,20,20,20,4,3,20,9,8,20,20,7,20,20,20,20,5,3,20,3,20,3,3,5,5,20,20,5,6,6,1,5,3,20,20,20,20,20,7,20,20,7,20,20,9,6,20,7,6,20,7,11
ACVR1B,15,15,3,7,8,15,15,4,5,15,7,15,7,6,15,15,4,15,15,5,6,5,15,15,2,15,15,15,15,15,4,15,7,4,15,5,5,2,15,15,15,15,3,5,6,15,15,15,10,6,15,8,5,15,15,9,15,15,15,15,4,6,15,9,15,2,4,5,3,15,15,4,4,4,6,10,3,15,15,15,15,15,4,15,15,9,15,15,8,4,15,7,6,15,5,3
ACVR2A,18,18,4,3,8,18,18,6,3,18,5,18,4,7,18,18,4,18,18,6,5,1,18,18,5,18,18,18,18,18,7,18,5,5,18,8,6,7,18,18,18,18,4,4,4,18,18,18,2,5,18,2,7,18,18,7,18,18,18,18,11,6,18,5,18,6,3,6,5,18,18,5,5,4,3,4,4,18,18,18,18,18,6,18,18,3,18,18,4,2,18,1,5,18,5,9
ADA,10,10,3,7,3,10,10,3,1,10,4,10,3,2,10,10,2,10,10,8,6,6,10,10,4,10,10,10,10,10,5,10,2,6,10,5,8,4,10,10,10,10,4,7,10,10,10,10,3,4,10,5,6,10,10,7,10,10,10,10,4,2,10,4,10,2,7,5,6,10,10,5,4,4,6,4,4,10,10,10,10,10,3,10,10,8,10,10,3,3,10,5,6,10,3,9
ADCY3,18,18,1,0,6,18,18,6,6,18,5,18,7,6,18,18,6,18,18,4,2,5,18,18,1,18,18,18,18,18,6,18,1,9,18,6,5,6,18,18,18,18,3,5,5,18,18,18,4,4,18,7,2,18,18,6,18,18,18,18,5,5,18,1,18,4,8,7,2,18,18,4,4,4,3,7,4,18,18,18,18,18,7,18,18,11,18,18,6,5,18,9,7,18,4,6
ADCY7,10,10,5,8,4,10,10,5,7,10,2,10,10,3,10,10,3,10,10,1,5,4,10,10,5,10,10,10,10,10,4,10,5,4,10,2,8,4,10,10,10,10,2,2,9,10,10,10,8,3,10,3,3,10,10,3,10,10,10,10,6,3,10,5,10,1,5,1,6,10,10,3,4,5,8,4,6,10,10,10,10,10,7,10,10,1,10,10,3,4,10,4,7,10,3,4
ADCYAP1,13,13,3,4,5,13,13,5,5,13,10,13,8,3,13,13,5,13,13,12,5,1,13,13,1,13,13,13,13,13,3,13,1,5,13,9,4,6,13,13,13,13,2,5,6,13,13,13,3,5,13,9,3,13,13,4,13,13,13,13,5,5,13,2,13,0,4,3,4,13,13,3,7,6,7,10,6,13,13,13,13,13,2,13,13,4,13,13,6,5,13,3,13,13,6,6
ADCYAP1R1,16,16,7,5,1,16,16,8,5,16,4,16,2,2,16,16,2,16,16,5,2,6,16,16,7,16,16,16,16,16,3,16,3,6,16,5,8,6,16,16,16,16,8,7,5,16,16,16,5,9,16,6,8,16,16,6,16,16,16,16,5,6,16,6,16,3,5,6,8,16,16,3,7,5,7,10,4,16,16,16,16,16,6,16,16,8,16,16,4,6,16,6,4,16,3,3
ADM,17,17,4,2,3,17,17,6,4,17,5,17,2,6,17,17,8,17,17,5,5,6,17,17,3,17,17,17,17,17,6,17,5,7,17,3,3,3,17,17,17,17,9,6,4,17,17,17,6,3,17,5,3,17,17,9,17,17,17,17,7,2,17,3,17,7,3,5,8,17,17,5,6,4,3,1,2,17,17,17,17,17,5,17,17,3,17,17,4,7,17,1,5,17,5,4
ADRA2C,16,16,4,5,0,16,16,5,1,16,6,16,8,5,16,16,3,16,16,4,5,5,16,16,3,16,16,16,16,16,2,16,2,7,16,3,4,4,16,16,16,16,6,6,5,16,16,16,4,5,16,8,2,16,16,6,16,16,16,16,4,8,16,6,16,5,0,5,4,16,16,4,8,7,3,8,5,16,16,16,16,16,8,16,16,5,16,16,7,3,16,2,7,16,5,7
CRISP1,17,17,4,4,5,17,17,2,6,17,8,17,4,5,17,17,6,17,17,10,0,6,17,17,3,17,17,17,17,17,4,17,5,8,17,5,4,7,17,17,17,17,6,12,5,17,17,17,5,4,17,5,5,17,17,4,17,17,17,17,4,8,17,5,17,4,6,4,4,17,17,6,3,2,7,5,3,17,17,17,17,17,3,17,17,6,17,17,4,3,17,4,1,17,11,1
AFP,21,21,2,1,4,21,21,9,0,21,5,21,4,7,21,21,7,21,21,2,2,1,21,21,5,21,21,21,21,21,5,21,9,7,21,6,9,9,21,21,21,21,7,6,7,21,21,21,6,5,21,4,2,21,21,6,21,21,21,21,5,7,21,3,21,1,5,3,5,21,21,8,3,3,2,7,6,21,21,21,21,21,4,21,21,5,21,21,3,11,21,5,9,21,3,8
AGRP,17,17,7,3,0,17,17,7,7,17,3,17,4,9,17,17,1,17,17,2,3,8,17,17,6,17,17,17,17,17,4,17,9,8,17,6,5,4,17,17,17,17,4,4,7,17,17,17,7,3,17,6,6,17,17,6,17,17,17,17,7,2,17,0,17,5,2,7,4,17,17,5,6,3,11,7,3,17,17,17,17,17,4,17,17,4,17,17,5,3,17,2,3,17,4,4
AGT,17,17,5,3,8,17,17,6,6,17,4,17,8,5,17,17,5,17,17,3,4,5,17,17,6,17,17,17,17,17,7,17,6,4,17,7,2,2,17,17,17,17,8,1,2,17,17,17,4,3,17,6,7,17,17,7,17,17,17,17,4,2,17,10,17,5,5,4,4,17,17,6,6,5,9,2,4,17,17,17,17,17,5,17,17,5,17,17,8,9,17,6,5,17,6,1
NR0B1,15,15,6,7,4,15,15,4,7,15,3,15,6,1,15,15,10,15,15,4,5,7,15,15,5,15,15,15,15,15,4,15,4,11,15,5,5,4,15,15,15,15,10,3,7,15,15,15,6,3,15,7,4,15,15,8,15,15,15,15,6,4,15,6,15,7,5,1,5,15,15,3,6,6,6,6,4,15,15,15,15,15,8,15,15,3,15,15,7,5,15,5,4,15,8,11
AKT1,10,10,1,3,1,10,10,3,2,10,4,10,7,7,10,10,3,10,10,3,5,6,10,10,4,10,10,10,10,10,5,10,4,5,10,3,2,5,10,10,10,10,7,3,2,10,10,10,7,6,10,7,2,10,10,2,10,10,10,10,6,6,10,4,10,3,3,3,8,10,10,3,10,4,3,6,6,10,10,10,10,10,7,10,10,4,10,10,5,5,10,4,2,10,3,4
AKR1B1,11,11,6,5,6,11,11,5,4,11,3,11,1,8,11,11,6,11,11,8,6,4,11,11,4,11,11,11,11,11,7,11,2,6,11,10,4,8,11,11,11,11,6,11,3,11,11,11,5,8,11,3,5,11,11,3,11,11,11,11,2,6,11,5,11,4,8,1,7,11,11,4,4,10,4,5,4,11,11,11,11,11,6,11,11,4,11,11,6,7,11,4,7,11,3,8
ALOX15B,13,13,3,3,5,13,13,6,6,13,3,13,2,2,13,13,11,13,13,2,4,7,13,13,7,13,13,13,13,13,4,13,10,8,13,1,9,4,13,13,13,13,6,6,8,13,13,13,7,3,13,3,2,13,13,4,13,13,13,13,5,5,13,4,13,7,7,3,4,13,13,7,5,3,2,5,4,13,13,13,13,13,6,13,13,3,13,13,1,2,13,9,5,13,7,6
ALPL,10,10,5,5,6,10,10,6,3,10,6,10,7,3,10,10,6,10,10,6,8,2,10,10,7,10,10,10,10,10,7,10,3,5,10,9,5,4,10,10,10,10,5,4,9,10,10,10,3,6,10,5,5,10,10,4,10,10,10,10,4,5,10,2,10,3,9,3,1,10,10,5,7,5,8,2,6,10,10,10,10,10,4,10,10,6,10,10,4,6,10,3,3,10,5,3
AMBP,15,15,9,6,1,15,15,8,4,15,2,15,2,1,15,15,2,15,15,8,6,5,15,15,3,15,15,15,15,15,6,15,5,4,15,7,7,2,15,15,15,15,6,5,5,15,15,15,5,1,15,3,6,15,15,9,15,15,15,15,3,2,15,5,15,4,3,7,5,15,15,4,5,5,5,4,2,15,15,15,15,15,7,15,15,6,15,15,5,3,15,6,5,15,3,7
AMH,15,15,6,10,6,15,15,6,9,15,4,15,6,2,15,15,5,15,15,7,6,4,15,15,3,15,15,15,15,15,3,15,3,7,15,7,6,5,15,15,15,15,2,2,4,15,15,15,5,4,15,5,6,15,15,4,15,15,15,15,6,6,15,5,15,6,2,3,4,15,15,6,5,6,4,4,8,15,15,15,15,15,2,15,15,3,15,15,5,11,15,6,6,15,5,5
AMHR2,12,12,3,5,4,12,12,3,8,12,7,12,5,7,12,12,3,12,12,7,2,4,12,12,9,12,12,12,12,12,4,12,4,4,12,7,5,4,12,12,12,12,4,4,4,12,12,12,1,2,12,3,4,12,12,7,12,12,12,12,4,5,12,5,12,4,4,3,3,12,12,3,4,4,3,7,1,12,12,12,12,12,4,12,12,15,12,12,6,6,12,8,4,12,5,1
ANG,14,14,2,4,5,14,14,5,5,14,5,14,6,7,14,14,8,14,14,3,1,6,14,14,4,14,14,14,14,14,8,14,6,6,14,9,2,4,14,14,14,14,5,5,3,14,14,14,5,7,14,3,5,14,14,2,14,14,14,14,4,7,14,5,14,7,9,5,3,14,14,2,3,5,11,4,3,14,14,14,14,14,3,14,14,5,14,14,4,5,14,4,6,14,2,5
ANGPT2,14,14,5,4,4,14,14,5,4,14,5,14,1,1,14,14,3,14,14,5,6,2,14,14,3,14,14,14,14,14,4,14,2,12,14,5,6,2,14,14,14,14,7,9,9,14,14,14,3,2,14,5,6,14,14,4,14,14,14,14,7,5,14,4,14,2,8,3,2,14,14,1,6,8,6,6,3,14,14,14,14,14,6,14,14,6,14,14,6,4,14,13,8,14,1,6
ANXA1,27,27,5,7,4,27,27,10,6,27,4,27,9,4,27,27,7,27,27,7,3,4,27,27,2,27,27,27,27,27,4,27,1,1,27,6,7,4,27,27,27,27,3,4,6,27,27,27,3,5,27,5,5,27,27,5,27,27,27,27,2,4,27,8,27,4,6,3,1,27,27,7,3,5,11,4,3,27,27,27,27,27,4,27,27,3,27,27,8,7,27,7,2,27,9,6
BIRC2,20,20,4,3,6,20,20,5,4,20,0,20,5,8,20,20,4,20,20,4,3,5,20,20,6,20,20,20,20,20,2,20,5,5,20,4,3,9,20,20,20,20,6,4,6,20,20,20,4,6,20,6,5,20,20,9,20,20,20,20,2,4,20,5,20,3,1,6,3,20,20,2,7,3,7,3,8,20,20,20,20,20,2,20,20,3,20,20,5,2,20,4,2,20,7,3
BIRC3,22,22,4,3,5,22,22,4,6,22,9,22,4,4,22,22,8,22,22,8,11,5,22,22,5,22,22,22,22,22,6,22,2,7,22,4,5,6,22,22,22,22,4,6,6,22,22,22,7,5,22,5,3,22,22,4,22,22,22,22,6,3,22,7,22,9,4,7,6,22,22,7,5,6,5,3,3,22,22,22,22,22,7,22,22,4,22,22,8,7,22,8,7,22,5,9
APOB,28,28,10,7,5,28,28,3,1,28,7,28,5,3,28,28,3,28,28,3,1,4,28,28,4,28,28,28,28,28,3,28,2,5,28,5,5,9,28,28,28,28,2,6,5,28,28,28,8,6,28,1,6,28,28,6,28,28,28,28,5,7,28,2,28,5,3,6,2,28,28,7,5,7,4,5,3,28,28,28,28,28,10,28,28,6,28,28,5,5,28,8,5,28,11,5
APP,13,13,8,5,3,13,13,5,2,13,4,13,5,2,13,13,4,13,13,5,1,6,13,13,9,13,13,13,13,13,2,13,2,3,13,3,6,5,13,13,13,13,6,4,4,13,13,13,2,9,13,5,11,13,13,1,13,13,13,13,8,3,13,4,13,7,5,11,4,13,13,3,8,1,8,6,3,13,13,13,13,13,5,13,13,3,13,13,7,2,13,2,6,13,2,4
AR,17,17,6,1,6,17,17,5,6,17,1,17,7,5,17,17,7,17,17,9,5,6,17,17,6,17,17,17,17,17,4,17,7,6,17,2,7,7,17,17,17,17,6,6,4,17,17,17,4,5,17,4,7,17,17,5,17,17,17,17,5,4,17,5,17,7,5,4,4,17,17,4,4,2,4,3,4,17,17,17,17,17,3,17,17,3,17,17,2,3,17,5,4,17,5,5
AREG,10,10,5,4,2,10,10,4,7,10,8,10,3,3,10,10,3,10,10,10,4,2,10,10,6,10,10,10,10,10,2,10,7,2,10,3,4,5,10,10,10,10,5,4,1,10,10,10,6,2,10,4,5,10,10,4,10,10,10,10,4,4,10,3,10,4,6,6,4,10,10,6,5,3,5,9,4,10,10,10,10,10,8,10,10,6,10,10,5,6,10,4,6,10,5,7
ARG1,14,14,7,7,9,14,14,8,6,14,3,14,6,3,14,14,3,14,14,5,3,5,14,14,0,14,14,14,14,14,5,14,2,4,14,9,5,3,14,14,14,14,3,4,5,14,14,14,3,3,14,7,6,14,14,8,14,14,14,14,7,7,14,9,14,4,5,5,3,14,14,6,4,4,7,5,5,14,14,14,14,14,4,14,14,6,14,14,6,4,14,5,8,14,8,7
ARHGDIB,11,11,1,5,10,11,11,4,8,11,6,11,6,2,11,11,2,11,11,6,8,3,11,11,3,11,11,11,11,11,1,11,7,2,11,6,6,9,11,11,11,11,7,5,7,11,11,11,5,8,11,3,8,11,11,6,11,11,11,11,5,6,11,7,11,6,3,4,8,11,11,5,4,5,2,6,2,11,11,11,11,11,7,11,11,3,11,11,3,5,11,7,9,11,5,6
ARNT,13,13,2,6,3,13,13,10,6,13,11,13,2,3,13,13,4,13,13,4,9,5,13,13,5,13,13,13,13,13,3,13,4,3,13,4,3,6,13,13,13,13,1,3,9,13,13,13,7,4,13,3,4,13,13,2,13,13,13,13,3,4,13,3,13,5,1,3,1,13,13,7,6,7,5,5,1,13,13,13,13,13,6,13,13,4,13,13,8,10,13,6,5,13,6,2
ARNTL,12,12,2,7,3,12,12,6,12,12,3,12,5,7,12,12,6,12,12,5,3,4,12,12,3,12,12,12,12,12,3,12,3,2,12,9,4,3,12,12,12,12,5,2,6,12,12,12,2,4,12,4,5,12,12,7,12,12,12,12,2,5,12,4,12,4,7,0,9,12,12,8,6,3,4,4,6,12,12,12,12,12,3,12,12,4,12,12,8,6,12,2,6,12,2,4
